time_ms, raw_ax, raw_ay, raw_az, filt_ax, filt_ay, filt_az
12080, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
12129, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
12176, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
12223, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
12270, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
12317, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
12364, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
12411, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
12458, 0.02, -0.00, -1.05, 0.02, -0.01, -1.06
12505, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
12557, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
12604, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
12651, 0.01, -0.01, -1.05, 0.02, -0.01, -1.06
12698, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
12745, 0.02, -0.00, -1.04, 0.02, -0.01, -1.05
12792, 0.03, -0.01, -1.06, 0.02, -0.01, -1.06
12839, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
12886, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
12933, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
12980, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
13027, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
13079, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
13126, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
13173, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
13220, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
13267, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
13314, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
13361, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
13408, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
13457, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
13504, 0.03, -0.03, -1.07, 0.02, -0.01, -1.06
13551, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
13603, 0.09, -0.06, -1.05, 0.04, -0.02, -1.06
13650, -0.07, 0.11, -1.04, 0.02, 0.01, -1.06
13697, -0.02, -0.04, -1.16, 0.01, -0.00, -1.08
13744, 0.07, 0.04, -1.20, 0.02, 0.01, -1.10
